device_id,device_type,ip_address,mac_address,protocol,src_port,dst_port,packet_size,session_duration,failed_login_attempts,dns_requests,outbound_connections,lateral_movement_flag,traffic_volume,port_scan_flag,malware_comm_flag,brute_force_flag,time_of_day,peak_hour,anomaly_score,threat_type,action_taken
9eaaf0e3-d2a9-4444-8c1f-14ddaef4f4fb,Mobile,192.168.215.29,27:8b:1b:97:cb:44,UDP,50499,2169,1476,30.54,13,41,9,0,539.97,1,1,0,Evening,1,0.022,Malware,Throttle
ab260384-05e2-4144-85c7-be6b26946816,Mobile,192.168.118.162,26:d3:dc:5d:f6:f3,ICMP,35260,4394,775,273.36,11,14,12,1,519.48,0,1,1,Morning,0,0.329,Malware,Throttle
bad9240e-6908-4eb3-be23-d5fc680d09a2,Server,192.168.157.15,95:51:65:73:06:42,TCP,58920,3627,1347,17.16,12,2,15,0,145.49,0,0,1,Evening,1,0.335,Brute Force,Throttle
0c57ed71-d182-493f-9e7e-a5efe3de4034,Server,192.168.173.162,c1:c7:ba:9e:68:7a,UDP,28651,4319,1404,103.52,11,32,14,1,83.78,1,1,1,Morning,0,0.71,Data Exfiltration,Throttle
42d48fb6-67fa-445f-8e76-bccb12ab0054,Laptop,192.168.53.237,28:22:d4:c0:97:ee,UDP,35246,5396,1057,34.64,12,28,5,0,643.23,1,1,1,Night,0,0.168,Data Exfiltration,Block
d4449a15-0710-4045-b843-52027e55ff92,Mobile,192.168.13.183,1a:97:82:4d:e0:0f,UDP,24582,8029,337,268.19,14,48,9,1,614.69,1,0,0,Evening,0,0.01,Port Scan,Block
3bd24aff-4919-4787-bb47-3bb05ac3a442,Server,192.168.24.161,89:f6:bd:d2:91:18,TCP,14753,5726,722,266.06,12,38,10,1,376.98,1,1,1,Night,1,0.68,Malware,Allow
6a32a1e4-eb47-46d5-a505-f33a3e25c126,Server,192.168.119.240,d7:9c:8d:b4:e5:89,TCP,40122,4020,789,46.98,3,2,19,0,95.43,1,1,0,Afternoon,0,0.964,Port Scan,Allow
c21ee9b9-4acc-4259-88fe-298a408b5c9d,IoT,192.168.160.149,ac:0c:0a:82:cf:cd,TCP,5768,3858,1366,216.46,0,57,7,0,694.88,0,0,1,Afternoon,0,0.221,Malware,Allow
d0ec3fe2-8140-46c4-a4c7-f091d1bec777,Mobile,192.168.134.28,47:4a:ac:5e:dc:0f,ICMP,30792,6628,195,41.62,12,41,3,0,171.58,0,1,1,Morning,0,0.901,DNS Tunneling,Throttle
bc4ae72d-f34f-4625-a34f-041b430e7ab8,Mobile,192.168.210.203,26:c7:da:2c:90:34,ICMP,10615,4000,966,244.29,7,23,3,1,256.32,1,0,1,Morning,0,0.012,Lateral Movement,Allow
8ed60e3f-bbf8-4b5a-b31b-d2855601c3dc,Mobile,192.168.162.135,d8:aa:60:ef:86:cf,TCP,30387,2839,582,186.52,8,43,17,0,219.41,0,1,1,Afternoon,1,0.806,Brute Force,Allow
a3106227-6658-4c34-9218-883478f49253,Server,192.168.184.118,40:d2:d0:3c:65:27,UDP,25953,3314,1032,221.62,7,59,1,1,379.18,1,0,1,Morning,0,0.781,Data Exfiltration,Allow
36f0c792-146c-4f85-8aed-fae16afe6bdd,Laptop,192.168.4.64,83:e8:6d:d8:ce:8d,TCP,40172,5848,428,234.74,7,49,12,1,7.1,0,1,0,Afternoon,0,0.511,DNS Tunneling,Throttle
0914c9e4-982b-406c-beb4-1e1739e47640,Server,192.168.242.42,b7:db:6f:7a:da:75,TCP,44045,7195,401,13.44,0,28,22,0,252.75,0,1,1,Evening,0,0.983,Malware,Block
80e12b27-19c8-4bfa-a947-b4a6212b3fae,Server,192.168.78.230,bc:29:35:a7:29:bb,ICMP,46834,2893,647,175.51,2,40,3,0,414.23,1,1,1,Evening,0,0.644,Data Exfiltration,Allow
0cadbf39-1f98-4d96-87ed-030c30cbf7cd,IoT,192.168.228.12,cc:73:a6:9f:d6:90,UDP,59626,4129,1268,227.08,1,31,13,0,343.78,1,1,1,Morning,0,0.961,Data Exfiltration,Allow
25155aa0-e85a-4ad3-8bfa-bd0651c39885,Laptop,192.168.153.9,25:34:db:c9:e4:6c,UDP,17331,4256,387,63.06,6,46,8,0,51.68,1,1,0,Evening,0,0.532,Data Exfiltration,Throttle
4000db70-191c-4da4-909f-a07edefd49a1,Mobile,192.168.86.128,66:fe:b5:44:fc:8f,TCP,32811,5782,892,105.56,6,37,8,0,324.43,1,0,0,Night,0,0.645,Brute Force,Throttle
b1d4ccdf-99b8-4502-b68b-7f363245bf85,IoT,192.168.148.130,31:cf:fa:4a:9c:70,TCP,2549,4016,139,153.64,6,45,23,1,297.12,1,1,1,Morning,1,0.243,Lateral Movement,Allow
29497437-eb7f-4a43-894b-9f5f1a49fc6a,Server,192.168.251.204,7a:7f:05:e6:d6:a6,TCP,64982,764,537,205.54,15,29,17,1,39.0,1,0,1,Afternoon,0,0.002,Brute Force,Block
5fc2396c-5eb9-481e-9bcb-3d9033c2f059,IoT,192.168.17.162,9e:cb:0c:d5:61:53,TCP,57855,31,631,127.77,7,3,11,1,207.24,0,0,0,Afternoon,1,0.103,Port Scan,Throttle
3637819c-4bfe-4613-888f-868750462317,Mobile,192.168.113.250,68:a5:4e:83:8e:32,UDP,39727,7181,325,78.42,10,7,13,0,482.85,1,0,1,Afternoon,0,0.814,Lateral Movement,Allow
5dd7857e-9d3e-431d-aadd-2432609ba2f4,IoT,192.168.71.15,3c:15:db:da:3f:48,UDP,34113,1546,909,28.36,0,42,9,1,686.09,0,0,1,Night,0,0.418,Data Exfiltration,Allow
7d98f5bc-0e85-42db-b7c9-cfe8701ec656,IoT,192.168.219.167,5a:a3:67:f7:a4:cd,ICMP,37152,6964,896,51.0,11,55,23,1,258.03,0,0,1,Night,1,0.676,Malware,Block
47d2d81f-9c95-4d25-8d3c-5456239622ed,Mobile,192.168.101.58,57:5f:08:c3:b4:1f,ICMP,51060,2662,251,212.63,11,35,14,1,558.48,1,0,0,Morning,1,0.767,Brute Force,Block
75e9ccc8-d35a-4e66-b6b5-5b02918f53d4,Server,192.168.146.247,3c:e0:06:26:82:e7,UDP,50967,3826,598,225.11,1,41,15,1,268.79,1,0,0,Evening,1,0.542,Normal,Block
c7fda841-1d9d-4015-a9b2-f069892eabbc,IoT,192.168.210.147,ae:aa:03:94:31:6c,TCP,65368,5979,836,212.85,4,47,23,1,556.48,1,1,1,Night,0,0.019,Lateral Movement,Throttle
fa0066f9-8320-4dd7-b3ad-00d3ca51b961,IoT,192.168.245.85,11:af:99:56:d8:d6,TCP,24731,3099,1351,246.71,12,12,14,1,256.88,0,1,0,Night,1,0.883,DNS Tunneling,Block
1c7f0fbe-2a1c-4318-84f0-bdc162dabc1f,IoT,192.168.132.89,10:76:d5:56:ba:d6,TCP,46715,4303,1272,288.95,10,12,1,1,524.28,1,0,0,Afternoon,1,0.312,Lateral Movement,Allow
d3029c36-c527-471e-a0a7-fd385505f2ec,IoT,192.168.244.245,22:7b:df:65:04:d6,UDP,31564,7428,975,76.06,0,20,14,0,559.89,0,1,1,Night,0,0.424,Malware,Allow
bfe130a2-57d4-4267-ab10-db5255c310e7,Mobile,192.168.164.48,40:85:43:fc:31:b7,ICMP,37917,2664,1436,297.71,10,18,25,0,162.13,0,1,1,Afternoon,0,0.551,Lateral Movement,Throttle
223878ca-1fad-466b-8788-38cdbb8a0ab0,Laptop,192.168.233.231,85:af:d2:1e:01:4d,ICMP,32974,424,386,124.85,11,4,18,0,515.33,0,0,0,Evening,1,0.263,Data Exfiltration,Allow
dfa78a41-fa16-4e08-933c-dfa39607cdf1,IoT,192.168.155.17,6d:30:a1:d5:ce:f1,TCP,43789,1167,362,86.84,10,44,3,1,46.16,1,1,0,Afternoon,0,0.814,Port Scan,Throttle
2e2e62e7-6b10-4cf1-b044-499a6a1e5db2,Laptop,192.168.56.33,e0:ff:ba:a8:f0:80,UDP,16361,2210,710,200.58,0,7,12,1,109.7,0,1,0,Night,1,0.918,Normal,Block
eb124eef-6077-4708-9263-f662f18362b6,Server,192.168.80.190,54:5b:ae:e6:74:c7,TCP,29589,5588,1273,147.47,15,5,23,1,329.11,1,1,1,Morning,0,0.451,Lateral Movement,Throttle
3f203e48-7e1a-49d1-8fd3-263e3336b72a,Laptop,192.168.178.102,0b:bf:15:84:65:8f,ICMP,37677,7591,316,179.76,2,27,13,1,425.33,0,0,1,Afternoon,1,0.505,Port Scan,Allow
